Student Name,Availability,Other Activities,English Level
Alexis Logan,Monday 19:00-17:00; Tuesday 16:00-18:00,Writing,C
Matthew Estrada,Thursday 17:00-23:00; Wednesday 18:00-22:00,Reading,C
Richard Barron,Friday 20:00-21:00; Thursday 15:00-21:00,Writing,B
Tamara Townsend,Friday 19:00-17:00; Monday 19:00-21:00,Dancing,A-Junior
Brendan Page,Tuesday 21:00-20:00; Wednesday 16:00-17:00,Swimming,E
Whitney Henderson,Wednesday 18:00-19:00; Friday 19:00-23:00,Dancing,B
Roberta Shepherd,Thursday 19:00-19:00; Wednesday 17:00-19:00,Drawing,C
Luis Hill,Wednesday 21:00-23:00; Thursday 21:00-22:00,Music,Pre-Junior
Martin Garcia,Monday 20:00-19:00; Thursday 20:00-17:00,Writing,A
Charles Kennedy,Monday 18:00-23:00; Wednesday 15:00-17:00,Writing,B
Eric Rodriguez,Thursday 20:00-21:00; Friday 18:00-17:00,Reading,D
Courtney Johnson,Wednesday 19:00-22:00; Friday 20:00-20:00,Drawing,Pre-Junior
Jennifer Brown,Monday 19:00-20:00; Tuesday 21:00-18:00,Reading,D
Joseph Williams,Monday 21:00-17:00; Thursday 17:00-19:00,Reading,C
Erika Quinn,Wednesday 19:00-17:00; Thursday 20:00-23:00,Swimming,B
Tina Johnson,Monday 16:00-23:00; Friday 18:00-19:00,Writing,D
Joseph Duke,Thursday 21:00-17:00; Wednesday 16:00-18:00,Dancing,A
Linda Reeves,Wednesday 16:00-23:00; Monday 18:00-23:00,Dancing,Lower
James Lewis,Tuesday 21:00-18:00; Monday 19:00-20:00,Chess,Pre-Junior
Julie Nguyen,Tuesday 21:00-22:00; Wednesday 20:00-18:00,Music,Pre-Junior
Karen Oliver,Thursday 19:00-19:00; Monday 20:00-18:00,Dancing,D
Jorge Brandt,Thursday 18:00-18:00; Monday 21:00-21:00,Writing,B
Jamie Lee,Tuesday 21:00-20:00; Thursday 18:00-19:00,Music,Lower
Steven Yang,Thursday 15:00-18:00; Monday 15:00-17:00,Chess,C
Earl Vargas,Monday 19:00-18:00; Wednesday 17:00-19:00,Swimming,D
Benjamin Ward,Friday 17:00-21:00; Thursday 19:00-18:00,Drawing,D
Jennifer Moreno,Wednesday 20:00-22:00; Friday 20:00-17:00,Dancing,A
Christopher Hernandez,Friday 20:00-22:00; Wednesday 16:00-23:00,Swimming,Pre-Junior
Wendy Evans,Wednesday 15:00-19:00; Thursday 20:00-20:00,Reading,Proficiency
Christopher Erickson,Tuesday 17:00-17:00; Friday 21:00-17:00,Chess,E
Michael Sullivan,Thursday 17:00-18:00; Tuesday 17:00-18:00,Chess,E
Sharon Fletcher,Friday 21:00-20:00; Monday 21:00-17:00,Dancing,E
